datetime,volume
17/10/2018,40
18/10/2018,40
19/10/2018,26.7
20/10/2018,53.3
21/10/2018,26.7
22/10/2018,106.7
23/10/2018,66.7
24/10/2018,0
25/10/2018,26.7
26/10/2018,26.7
27/10/2018,0
28/10/2018,0
29/10/2018,0
30/10/2018,0
31/10/2018,26.7
01/11/2018,20
02/11/2018,13.3
03/11/2018,13.3
04/11/2018,13.3
05/11/2018,0
06/11/2018,0
07/11/2018,0
08/11/2018,0
09/11/2018,0
10/11/2018,26.7
11/11/2018,0
12/11/2018,0
13/11/2018,0
14/11/2018,0
15/11/2018,13.3
16/11/2018,0
17/11/2018,0
18/11/2018,0
19/11/2018,6.7
20/11/2018,0
21/11/2018,13.3
22/11/2018,13.3
23/11/2018,0
24/11/2018,13.3
25/11/2018,0
26/11/2018,0
27/11/2018,0
28/11/2018,0
29/11/2018,0
30/11/2018,0
01/12/2018,0
02/12/2018,0
03/12/2018,0
04/12/2018,0
05/12/2018,0
06/12/2018,20
07/12/2018,0
08/12/2018,0
09/12/2018,20
10/12/2018,0
11/12/2018,0
12/12/2018,0
13/12/2018,13.3
14/12/2018,0
15/12/2018,6.7
16/12/2018,0
17/12/2018,0
18/12/2018,33.3
19/12/2018,0
20/12/2018,13.3
21/12/2018,0
22/12/2018,0
23/12/2018,0
24/12/2018,20
25/12/2018,26.7
26/12/2018,13.3
27/12/2018,20
28/12/2018,0
29/12/2018,0
30/12/2018,0
31/12/2018,0
01/01/2019,0
02/01/2019,0
03/01/2019,40
04/01/2019,60
05/01/2019,26.7
06/01/2019,0
07/01/2019,20
08/01/2019,0
09/01/2019,13.3
10/01/2019,33.3
11/01/2019,0
12/01/2019,6.7
13/01/2019,33.3
14/01/2019,20
15/01/2019,40
16/01/2019,26.7
17/01/2019,20
18/01/2019,13.3
19/01/2019,13.3
20/01/2019,26.7
21/01/2019,33.3
22/01/2019,46.7
23/01/2019,73.3
24/01/2019,66.7
25/01/2019,26.7
26/01/2019,86.7
27/01/2019,100
28/01/2019,53.3
29/01/2019,73.3
30/01/2019,46.7
31/01/2019,26.7
01/02/2019,93.3
02/02/2019,66.7
03/02/2019,53.3
04/02/2019,113.3
05/02/2019,46.7
06/02/2019,100
07/02/2019,120
08/02/2019,140
09/02/2019,93.3
10/02/2019,80
11/02/2019,33.3
12/02/2019,46.7
13/02/2019,86.7
14/02/2019,160
15/02/2019,166.7
16/02/2019,93.3
17/02/2019,40
18/02/2019,33.3
19/02/2019,86.7
20/02/2019,60
21/02/2019,120
22/02/2019,120
23/02/2019,93.3
24/02/2019,73.3
25/02/2019,46.7
26/02/2019,120
27/02/2019,93.3
28/02/2019,73.3
01/03/2019,73.3
02/03/2019,120
03/03/2019,33.3
04/03/2019,166.7
05/03/2019,113.3
06/03/2019,73.3
07/03/2019,120
08/03/2019,86.7
09/03/2019,73.3
10/03/2019,46.7
11/03/2019,106.7
12/03/2019,73.3
13/03/2019,106.7
14/03/2019,113.3
15/03/2019,160
16/03/2019,206.7
17/03/2019,153.3
18/03/2019,53.3
19/03/2019,113.3
20/03/2019,153.3
21/03/2019,53.3
22/03/2019,140
23/03/2019,153.3
24/03/2019,73.3
25/03/2019,66.7
26/03/2019,106.7
27/03/2019,93.3
28/03/2019,0
29/03/2019,53.3
30/03/2019,46.7
31/03/2019,40
01/04/2019,26.7
02/04/2019,13.3
03/04/2019,80
04/04/2019,133.3
05/04/2019,106.7
06/04/2019,106.7
07/04/2019,60
08/04/2019,100
09/04/2019,100
10/04/2019,153.3
11/04/2019,100
12/04/2019,140
13/04/2019,106.7
14/04/2019,113.3
15/04/2019,120
16/04/2019,140
17/04/2019,173.3
18/04/2019,146.7
19/04/2019,146.7
20/04/2019,140
21/04/2019,120
22/04/2019,146.7
23/04/2019,126.7
24/04/2019,140
25/04/2019,146.7
26/04/2019,33.3
27/04/2019,13.3
28/04/2019,0
29/04/2019,40
30/04/2019,53.3
01/05/2019,66.7
02/05/2019,26.7
03/05/2019,73.3
04/05/2019,40
05/05/2019,0
06/05/2019,0
07/05/2019,0
08/05/2019,0
09/05/2019,0
10/05/2019,0
11/05/2019,0
12/05/2019,0
13/05/2019,0
14/05/2019,0
15/05/2019,0
16/05/2019,0
17/05/2019,0
18/05/2019,0
19/05/2019,0
20/05/2019,0
21/05/2019,0
22/05/2019,0
23/05/2019,0
24/05/2019,0
25/05/2019,0
26/05/2019,0
27/05/2019,0
28/05/2019,0
29/05/2019,33.3
30/05/2019,26.7
31/05/2019,40
01/06/2019,60
02/06/2019,40
03/06/2019,113.3
04/06/2019,46.7
05/06/2019,53.3
06/06/2019,113.3
07/06/2019,53.3
08/06/2019,86.7
09/06/2019,40
10/06/2019,46.7
11/06/2019,133.3
12/06/2019,60
13/06/2019,86.7
14/06/2019,53.3
15/06/2019,80
16/06/2019,53.3
17/06/2019,0
18/06/2019,6.7
19/06/2019,53.3
20/06/2019,120
21/06/2019,120
22/06/2019,26.7
23/06/2019,40
24/06/2019,40
25/06/2019,26.7
26/06/2019,100
27/06/2019,46.7
28/06/2019,66.7
29/06/2019,13.3
30/06/2019,46.7
01/07/2019,80
02/07/2019,100
03/07/2019,80
04/07/2019,106.7
05/07/2019,0
